gathered_at_utc,source,job_type,postings_total,postings_with_salary,salary_coverage_percentage,top_skills,salary_statistics,origin
2026-09-20T10:04:47+00:00,Just Join IT,java-mid,258,155,60.08,"[{""keyword"": ""java"", ""count"": 217, ""percentage"": 84.1}, {""keyword"": ""spring boot"", ""count"": 86, ""percentage"": 33.3}, {""keyword"": ""spring"", ""count"": 66, ""percentage"": 25.6}, {""keyword"": ""sql"", ""count"": 58, ""percentage"": 22.5}, {""keyword"": ""angular"", ""count"": 46, ""percentage"": 17.8}, {""keyword"": ""rest api"", ""count"": 46, ""percentage"": 17.8}, {""keyword"": ""docker"", ""count"": 44, ""percentage"": 17.1}, {""keyword"": ""kubernetes"", ""count"": 42, ""percentage"": 16.3}, {""keyword"": ""postgresql"", ""count"": 41, ""percentage"": 15.9}, {""keyword"": ""kafka"", ""count"": 36, ""percentage"": 13.9}, {""keyword"": ""ci/cd"", ""count"": 35, ""percentage"": 13.6}, {""keyword"": ""kotlin"", ""count"": 33, ""percentage"": 12.8}, {""keyword"": ""git"", ""count"": 30, ""percentage"": 11.6}, {""keyword"": ""microservices"", ""count"": 30, ""percentage"": 11.6}, {""keyword"": ""typescript"", ""count"": 30, ""percentage"": 11.6}, {""keyword"": ""javascript"", ""count"": 29, ""percentage"": 11.2}, {""keyword"": ""react"", ""count"": 29, ""percentage"": 11.2}, {""keyword"": ""hibernate"", ""count"": 27, ""percentage"": 10.5}, {""keyword"": ""rest"", ""count"": 27, ""percentage"": 10.5}, {""keyword"": ""soap"", ""count"": 21, ""percentage"": 8.1}, {""keyword"": ""junit"", ""count"": 19, ""percentage"": 7.4}, {""keyword"": ""apache kafka"", ""count"": 17, ""percentage"": 6.6}, {""keyword"": ""ai"", ""count"": 15, ""percentage"": 5.8}, {""keyword"": ""linux"", ""count"": 14, ""percentage"": 5.4}, {""keyword"": ""python"", ""count"": 14, ""percentage"": 5.4}]",[],retroactive_pdf
2026-06-29T18:25:52+00:00,Just Join IT,java-mid,291,156,53.61,"[{""keyword"": ""java"", ""count"": 245, ""percentage"": 84.2}, {""keyword"": ""spring boot"", ""count"": 89, ""percentage"": 30.6}, {""keyword"": ""spring"", ""count"": 55, ""percentage"": 18.9}, {""keyword"": ""sql"", ""count"": 50, ""percentage"": 17.2}, {""keyword"": ""docker"", ""count"": 42, ""percentage"": 14.4}, {""keyword"": ""kubernetes"", ""count"": 40, ""percentage"": 13.8}, {""keyword"": ""react"", ""count"": 39, ""percentage"": 13.4}, {""keyword"": ""postgresql"", ""count"": 36, ""percentage"": 12.4}, {""keyword"": ""angular"", ""count"": 35, ""percentage"": 12.0}, {""keyword"": ""hibernate"", ""count"": 34, ""percentage"": 11.7}, {""keyword"": ""microservices"", ""count"": 34, ""percentage"": 11.7}, {""keyword"": ""ci/cd"", ""count"": 33, ""percentage"": 11.3}, {""keyword"": ""kafka"", ""count"": 33, ""percentage"": 11.3}, {""keyword"": ""kotlin"", ""count"": 33, ""percentage"": 11.3}, {""keyword"": ""typescript"", ""count"": 30, ""percentage"": 10.3}, {""keyword"": ""git"", ""count"": 29, ""percentage"": 10.0}, {""keyword"": ""rest api"", ""count"": 28, ""percentage"": 9.6}, {""keyword"": ""maven"", ""count"": 22, ""percentage"": 7.6}, {""keyword"": ""aws"", ""count"": 20, ""percentage"": 6.9}, {""keyword"": ""rest"", ""count"": 20, ""percentage"": 6.9}, {""keyword"": ""apache kafka"", ""count"": 18, ""percentage"": 6.2}, {""keyword"": ""azure"", ""count"": 18, ""percentage"": 6.2}, {""keyword"": ""junit"", ""count"": 15, ""percentage"": 5.2}, {""keyword"": ""soap"", ""count"": 14, ""percentage"": 4.8}, {""keyword"": ""javascript"", ""count"": 12, ""percentage"": 4.1}]",[],retroactive_pdf
2026-09-20T10:09:24+00:00,No Fluff Jobs,java-mid,175,145,82.86,"[{""keyword"": ""java"", ""count"": 175, ""percentage"": 100.0}, {""keyword"": ""spring boot"", ""count"": 26, ""percentage"": 14.9}, {""keyword"": ""python"", ""count"": 22, ""percentage"": 12.6}, {""keyword"": ""spring"", ""count"": 21, ""percentage"": 12.0}, {""keyword"": ""sql"", ""count"": 17, ""percentage"": 9.7}, {""keyword"": ""kotlin"", ""count"": 16, ""percentage"": 9.1}, {""keyword"": ""kafka"", ""count"": 10, ""percentage"": 5.7}, {""keyword"": ""angular"", ""count"": 8, ""percentage"": 4.6}, {""keyword"": ""k8s"", ""count"": 8, ""percentage"": 4.6}, {""keyword"": ""selenium"", ""count"": 7, ""percentage"": 4.0}, {""keyword"": ""microservices"", ""count"": 6, ""percentage"": 3.4}, {""keyword"": ""ai"", ""count"": 5, ""percentage"": 2.9}, {""keyword"": ""aws"", ""count"": 5, ""percentage"": 2.9}, {""keyword"": ""gcp"", ""count"": 5, ""percentage"": 2.9}, {""keyword"": ""qa"", ""count"": 5, ""percentage"": 2.9}, {""keyword"": ""react"", ""count"": 5, ""percentage"": 2.9}, {""keyword"": ""rest api"", ""count"": 5, ""percentage"": 2.9}, {""keyword"": "".net"", ""count"": 4, ""percentage"": 2.3}, {""keyword"": ""golang"", ""count"": 4, ""percentage"": 2.3}, {""keyword"": ""postgresql"", ""count"": 4, ""percentage"": 2.3}, {""keyword"": ""test automation"", ""count"": 4, ""percentage"": 2.3}, {""keyword"": ""android"", ""count"": 3, ""percentage"": 1.7}, {""keyword"": ""api"", ""count"": 3, ""percentage"": 1.7}, {""keyword"": ""backend"", ""count"": 3, ""percentage"": 1.7}, {""keyword"": ""boot"", ""count"": 3, ""percentage"": 1.7}]",[],retroactive_pdf
