gathered_at_utc,source,job_type,postings_total,postings_with_salary,salary_coverage_percentage,top_skills,salary_statistics,origin
2026-06-29T18:36:38+00:00,Unknown (legacy PDF),java-junior,42,18,42.86,"[{""keyword"": ""java"", ""count"": 33, ""percentage"": 78.6}, {""keyword"": ""sql"", ""count"": 19, ""percentage"": 45.2}, {""keyword"": ""junit"", ""count"": 13, ""percentage"": 30.9}, {""keyword"": ""unit testing"", ""count"": 13, ""percentage"": 30.9}, {""keyword"": ""epam systems"", ""count"": 12, ""percentage"": 28.6}, {""keyword"": ""hybrid"", ""count"": 12, ""percentage"": 28.6}, {""keyword"": ""mockito"", ""count"": 12, ""percentage"": 28.6}, {""keyword"": ""new"", ""count"": 12, ""percentage"": 28.6}, {""keyword"": ""git"", ""count"": 7, ""percentage"": 16.7}, {""keyword"": ""spring"", ""count"": 6, ""percentage"": 14.3}, {""keyword"": ""spring boot"", ""count"": 6, ""percentage"": 14.3}, {""keyword"": ""kotlin"", ""count"": 5, ""percentage"": 11.9}, {""keyword"": ""rest api"", ""count"": 5, ""percentage"": 11.9}, {""keyword"": ""typescript"", ""count"": 5, ""percentage"": 11.9}, {""keyword"": ""gdansk"", ""count"": 4, ""percentage"": 9.5}, {""keyword"": ""krakow"", ""count"": 4, ""percentage"": 9.5}, {""keyword"": ""wroclaw"", ""count"": 4, ""percentage"": 9.5}, {""keyword"": ""bpmn"", ""count"": 3, ""percentage"": 7.1}, {""keyword"": ""c#"", ""count"": 3, ""percentage"": 7.1}, {""keyword"": ""html"", ""count"": 3, ""percentage"": 7.1}, {""keyword"": ""javascript"", ""count"": 3, ""percentage"": 7.1}, {""keyword"": ""python"", ""count"": 3, ""percentage"": 7.1}, {""keyword"": ""rest"", ""count"": 3, ""percentage"": 7.1}, {""keyword"": ""soap"", ""count"": 3, ""percentage"": 7.1}, {""keyword"": ""ai"", ""count"": 2, ""percentage"": 4.8}]",[],retroactive_pdf
2026-09-20T10:48:42.999567+00:00,Just Join IT,java-junior,51,20,39.22,"[{""keyword"": ""java"", ""count"": 47, ""percentage"": 92.16}, {""keyword"": ""sql"", ""count"": 25, ""percentage"": 49.02}, {""keyword"": ""junit"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""unit testing"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""mockito"", ""count"": 13, ""percentage"": 25.49}, {""keyword"": ""git"", ""count"": 11, ""percentage"": 21.57}, {""keyword"": ""spring boot"", ""count"": 8, ""percentage"": 15.69}, {""keyword"": ""angular"", ""count"": 7, ""percentage"": 13.73}, {""keyword"": ""algorithms"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""google cloud platform"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""kotlin"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""continuous integration"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""data structures"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""spring"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""ai"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""ci/cd"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""collections"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""microsoft office word"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""python"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest api"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""application security"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""css"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""docker"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""gcp"", ""count"": 2, ""percentage"": 3.92}]","[{""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 333.33, ""avg_salary_max"": 400.0, ""avg_salary"": 366.67}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 45.0, ""avg_salary_max"": 70.0, ""avg_salary"": 57.5}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 5, ""salary_ranges"": 5, ""avg_salary_min"": 10276.0, ""avg_salary_max"": 15364.0, ""avg_salary"": 12820.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""hour"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 40.0, ""avg_salary_max"": 50.0, ""avg_salary"": 45.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""month"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 6000.0, ""avg_salary_max"": 10333.33, ""avg_salary"": 8166.67}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 12, ""salary_ranges"": 12, ""avg_salary_min"": 8358.33, ""avg_salary_max"": 11791.67, ""avg_salary"": 10075.0}]",scraper
2026-09-20T10:48:55.645936+00:00,No Fluff Jobs,java-junior,12,9,75.0,"[{""keyword"": ""java"", ""count"": 12, ""percentage"": 100.0}, {""keyword"": ""python"", ""count"": 3, ""percentage"": 25.0}, {""keyword"": ""ai"", ""count"": 2, ""percentage"": 16.67}, {""keyword"": ""git"", ""count"": 2, ""percentage"": 16.67}, {""keyword"": ""javascript"", ""count"": 2, ""percentage"": 16.67}, {""keyword"": ""azure"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""iam"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""infor"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""java se"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""kafka"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""kotlin"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""qa"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""sparx enterprise architect"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""spring"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""spring framework"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""sql"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""testing"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""uml"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""vba"", ""count"": 1, ""percentage"": 8.33}]","[{""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 1085.0, ""avg_salary_max"": 1287.5, ""avg_salary"": 1186.25}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 4, ""salary_ranges"": 4, ""avg_salary_min"": 70.0, ""avg_salary_max"": 85.0, ""avg_salary"": 77.5}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 6000.0, ""avg_salary_max"": 9000.0, ""avg_salary"": 7500.0}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 8100.0, ""avg_salary_max"": 12125.0, ""avg_salary"": 10112.5}]",scraper
2026-09-20T10:49:39.071515+00:00,Just Join IT,java-junior,51,20,39.22,"[{""keyword"": ""java"", ""count"": 47, ""percentage"": 92.16}, {""keyword"": ""sql"", ""count"": 25, ""percentage"": 49.02}, {""keyword"": ""junit"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""unit testing"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""mockito"", ""count"": 13, ""percentage"": 25.49}, {""keyword"": ""git"", ""count"": 11, ""percentage"": 21.57}, {""keyword"": ""spring boot"", ""count"": 8, ""percentage"": 15.69}, {""keyword"": ""angular"", ""count"": 7, ""percentage"": 13.73}, {""keyword"": ""algorithms"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""google cloud platform"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""kotlin"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""continuous integration"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""data structures"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""spring"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""ai"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""ci/cd"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""collections"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""microsoft office word"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""python"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest api"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""application security"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""css"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""docker"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""gcp"", ""count"": 2, ""percentage"": 3.92}]","[{""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 333.33, ""avg_salary_max"": 400.0, ""avg_salary"": 366.67}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 45.0, ""avg_salary_max"": 70.0, ""avg_salary"": 57.5}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 5, ""salary_ranges"": 5, ""avg_salary_min"": 10276.0, ""avg_salary_max"": 15364.0, ""avg_salary"": 12820.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""hour"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 40.0, ""avg_salary_max"": 50.0, ""avg_salary"": 45.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""month"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 6000.0, ""avg_salary_max"": 10333.33, ""avg_salary"": 8166.67}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 12, ""salary_ranges"": 12, ""avg_salary_min"": 8358.33, ""avg_salary_max"": 11791.67, ""avg_salary"": 10075.0}]",scraper
2026-09-20T10:51:32.845028+00:00,Just Join IT,java-junior,51,20,39.22,"[{""keyword"": ""java"", ""count"": 47, ""percentage"": 92.16}, {""keyword"": ""sql"", ""count"": 25, ""percentage"": 49.02}, {""keyword"": ""junit"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""unit testing"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""mockito"", ""count"": 13, ""percentage"": 25.49}, {""keyword"": ""git"", ""count"": 11, ""percentage"": 21.57}, {""keyword"": ""spring boot"", ""count"": 8, ""percentage"": 15.69}, {""keyword"": ""angular"", ""count"": 7, ""percentage"": 13.73}, {""keyword"": ""algorithms"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""google cloud platform"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""kotlin"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""continuous integration"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""data structures"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""spring"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""ai"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""ci/cd"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""collections"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""microsoft office word"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""python"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest api"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""application security"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""css"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""docker"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""gcp"", ""count"": 2, ""percentage"": 3.92}]","[{""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 333.33, ""avg_salary_max"": 400.0, ""avg_salary"": 366.67}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 45.0, ""avg_salary_max"": 70.0, ""avg_salary"": 57.5}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 5, ""salary_ranges"": 5, ""avg_salary_min"": 10276.0, ""avg_salary_max"": 15364.0, ""avg_salary"": 12820.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""hour"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 40.0, ""avg_salary_max"": 50.0, ""avg_salary"": 45.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""month"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 6000.0, ""avg_salary_max"": 10333.33, ""avg_salary"": 8166.67}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 12, ""salary_ranges"": 12, ""avg_salary_min"": 8358.33, ""avg_salary_max"": 11791.67, ""avg_salary"": 10075.0}]",scraper
2026-09-20T10:51:54.065872+00:00,No Fluff Jobs,java-junior,12,9,75.0,"[{""keyword"": ""java"", ""count"": 12, ""percentage"": 100.0}, {""keyword"": ""python"", ""count"": 3, ""percentage"": 25.0}, {""keyword"": ""ai"", ""count"": 2, ""percentage"": 16.67}, {""keyword"": ""git"", ""count"": 2, ""percentage"": 16.67}, {""keyword"": ""javascript"", ""count"": 2, ""percentage"": 16.67}, {""keyword"": ""azure"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""iam"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""infor"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""java se"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""kafka"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""kotlin"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""qa"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""sparx enterprise architect"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""spring"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""spring framework"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""sql"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""testing"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""uml"", ""count"": 1, ""percentage"": 8.33}, {""keyword"": ""vba"", ""count"": 1, ""percentage"": 8.33}]","[{""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 1085.0, ""avg_salary_max"": 1287.5, ""avg_salary"": 1186.25}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 4, ""salary_ranges"": 4, ""avg_salary_min"": 70.0, ""avg_salary_max"": 85.0, ""avg_salary"": 77.5}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 6000.0, ""avg_salary_max"": 9000.0, ""avg_salary"": 7500.0}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 8100.0, ""avg_salary_max"": 12125.0, ""avg_salary"": 10112.5}]",scraper
2026-09-20T10:52:25.055462+00:00,Just Join IT,java-junior,51,20,39.22,"[{""keyword"": ""java"", ""count"": 47, ""percentage"": 92.16}, {""keyword"": ""sql"", ""count"": 25, ""percentage"": 49.02}, {""keyword"": ""junit"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""unit testing"", ""count"": 16, ""percentage"": 31.37}, {""keyword"": ""mockito"", ""count"": 13, ""percentage"": 25.49}, {""keyword"": ""git"", ""count"": 11, ""percentage"": 21.57}, {""keyword"": ""spring boot"", ""count"": 8, ""percentage"": 15.69}, {""keyword"": ""angular"", ""count"": 7, ""percentage"": 13.73}, {""keyword"": ""algorithms"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""google cloud platform"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""kotlin"", ""count"": 6, ""percentage"": 11.76}, {""keyword"": ""continuous integration"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""data structures"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""spring"", ""count"": 4, ""percentage"": 7.84}, {""keyword"": ""ai"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""ci/cd"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""collections"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""microsoft office word"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""python"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""rest api"", ""count"": 3, ""percentage"": 5.88}, {""keyword"": ""application security"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""css"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""docker"", ""count"": 2, ""percentage"": 3.92}, {""keyword"": ""gcp"", ""count"": 2, ""percentage"": 3.92}]","[{""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 333.33, ""avg_salary_max"": 400.0, ""avg_salary"": 366.67}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 45.0, ""avg_salary_max"": 70.0, ""avg_salary"": 57.5}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 5, ""salary_ranges"": 5, ""avg_salary_min"": 10276.0, ""avg_salary_max"": 15364.0, ""avg_salary"": 12820.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""hour"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 40.0, ""avg_salary_max"": 50.0, ""avg_salary"": 45.0}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""month"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 6000.0, ""avg_salary_max"": 10333.33, ""avg_salary"": 8166.67}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 12, ""salary_ranges"": 12, ""avg_salary_min"": 8358.33, ""avg_salary_max"": 11791.67, ""avg_salary"": 10075.0}]",scraper
2026-09-20T10:58:39.728789+00:00,Just Join IT,java-junior,258,155,60.08,"[{""keyword"": ""java"", ""count"": 217, ""percentage"": 84.11}, {""keyword"": ""spring boot"", ""count"": 86, ""percentage"": 33.33}, {""keyword"": ""spring"", ""count"": 66, ""percentage"": 25.58}, {""keyword"": ""sql"", ""count"": 58, ""percentage"": 22.48}, {""keyword"": ""angular"", ""count"": 46, ""percentage"": 17.83}, {""keyword"": ""rest api"", ""count"": 46, ""percentage"": 17.83}, {""keyword"": ""docker"", ""count"": 44, ""percentage"": 17.05}, {""keyword"": ""kubernetes"", ""count"": 42, ""percentage"": 16.28}, {""keyword"": ""postgresql"", ""count"": 41, ""percentage"": 15.89}, {""keyword"": ""kafka"", ""count"": 36, ""percentage"": 13.95}, {""keyword"": ""ci/cd"", ""count"": 35, ""percentage"": 13.57}, {""keyword"": ""kotlin"", ""count"": 33, ""percentage"": 12.79}, {""keyword"": ""git"", ""count"": 30, ""percentage"": 11.63}, {""keyword"": ""microservices"", ""count"": 30, ""percentage"": 11.63}, {""keyword"": ""typescript"", ""count"": 30, ""percentage"": 11.63}, {""keyword"": ""javascript"", ""count"": 29, ""percentage"": 11.24}, {""keyword"": ""react"", ""count"": 29, ""percentage"": 11.24}, {""keyword"": ""hibernate"", ""count"": 27, ""percentage"": 10.47}, {""keyword"": ""rest"", ""count"": 27, ""percentage"": 10.47}, {""keyword"": ""soap"", ""count"": 21, ""percentage"": 8.14}, {""keyword"": ""junit"", ""count"": 19, ""percentage"": 7.36}, {""keyword"": ""apache kafka"", ""count"": 17, ""percentage"": 6.59}, {""keyword"": ""ai"", ""count"": 15, ""percentage"": 5.81}, {""keyword"": ""linux"", ""count"": 14, ""percentage"": 5.43}, {""keyword"": ""python"", ""count"": 14, ""percentage"": 5.43}]","[{""currency"": ""PLN"", ""contract_type"": ""any"", ""unit"": ""year"", ""postings_with_salary"": 4, ""salary_ranges"": 4, ""avg_salary_min"": 229025.0, ""avg_salary_max"": 389975.0, ""avg_salary"": 309500.0}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 9, ""salary_ranges"": 9, ""avg_salary_min"": 915.56, ""avg_salary_max"": 1098.89, ""avg_salary"": 1007.22}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 66, ""salary_ranges"": 66, ""avg_salary_min"": 407.11, ""avg_salary_max"": 442.23, ""avg_salary"": 424.67}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 53, ""salary_ranges"": 53, ""avg_salary_min"": 19678.11, ""avg_salary_max"": 26371.42, ""avg_salary"": 23024.76}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 39, ""salary_ranges"": 39, ""avg_salary_min"": 14073.33, ""avg_salary_max"": 19750.64, ""avg_salary"": 16911.99}, {""currency"": ""USD"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 5300.0, ""avg_salary_max"": 6600.0, ""avg_salary"": 5950.0}]",scraper
2026-09-20T10:59:07.595960+00:00,Just Join IT,java-junior,558,302,54.12,"[{""keyword"": ""java"", ""count"": 500, ""percentage"": 89.61}, {""keyword"": ""spring boot"", ""count"": 232, ""percentage"": 41.58}, {""keyword"": ""spring"", ""count"": 153, ""percentage"": 27.42}, {""keyword"": ""sql"", ""count"": 134, ""percentage"": 24.01}, {""keyword"": ""docker"", ""count"": 94, ""percentage"": 16.85}, {""keyword"": ""kafka"", ""count"": 89, ""percentage"": 15.95}, {""keyword"": ""kubernetes"", ""count"": 88, ""percentage"": 15.77}, {""keyword"": ""rest api"", ""count"": 87, ""percentage"": 15.59}, {""keyword"": ""angular"", ""count"": 79, ""percentage"": 14.16}, {""keyword"": ""hibernate"", ""count"": 76, ""percentage"": 13.62}, {""keyword"": ""postgresql"", ""count"": 76, ""percentage"": 13.62}, {""keyword"": ""react"", ""count"": 67, ""percentage"": 12.01}, {""keyword"": ""ci/cd"", ""count"": 63, ""percentage"": 11.29}, {""keyword"": ""microservices"", ""count"": 57, ""percentage"": 10.22}, {""keyword"": ""apache kafka"", ""count"": 52, ""percentage"": 9.32}, {""keyword"": ""git"", ""count"": 49, ""percentage"": 8.78}, {""keyword"": ""ai"", ""count"": 47, ""percentage"": 8.42}, {""keyword"": ""aws"", ""count"": 45, ""percentage"": 8.06}, {""keyword"": ""python"", ""count"": 43, ""percentage"": 7.71}, {""keyword"": ""kotlin"", ""count"": 42, ""percentage"": 7.53}, {""keyword"": ""typescript"", ""count"": 42, ""percentage"": 7.53}, {""keyword"": ""rest"", ""count"": 40, ""percentage"": 7.17}, {""keyword"": ""maven"", ""count"": 37, ""percentage"": 6.63}, {""keyword"": ""gcp"", ""count"": 33, ""percentage"": 5.91}, {""keyword"": ""junit"", ""count"": 33, ""percentage"": 5.91}]","[{""currency"": ""EUR"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 450.0, ""avg_salary_max"": 520.0, ""avg_salary"": 485.0}, {""currency"": ""EUR"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 25.0, ""avg_salary_max"": 33.0, ""avg_salary"": 29.0}, {""currency"": ""PLN"", ""contract_type"": ""any"", ""unit"": ""hour"", ""postings_with_salary"": 2, ""salary_ranges"": 2, ""avg_salary_min"": 112.5, ""avg_salary_max"": 120.0, ""avg_salary"": 116.25}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""day"", ""postings_with_salary"": 18, ""salary_ranges"": 18, ""avg_salary_min"": 1097.22, ""avg_salary_max"": 1310.0, ""avg_salary"": 1203.61}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 170, ""salary_ranges"": 170, ""avg_salary_min"": 143.5, ""avg_salary_max"": 170.35, ""avg_salary"": 156.93}, {""currency"": ""PLN"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 76, ""salary_ranges"": 76, ""avg_salary_min"": 22303.28, ""avg_salary_max"": 27939.83, ""avg_salary"": 25121.55}, {""currency"": ""PLN"", ""contract_type"": ""mandate_contract"", ""unit"": ""day"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 1100.0, ""avg_salary_max"": 1200.0, ""avg_salary"": 1150.0}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""month"", ""postings_with_salary"": 42, ""salary_ranges"": 42, ""avg_salary_min"": 20138.33, ""avg_salary_max"": 26575.0, ""avg_salary"": 23356.67}, {""currency"": ""PLN"", ""contract_type"": ""permanent"", ""unit"": ""year"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 220900.0, ""avg_salary_max"": 270000.0, ""avg_salary"": 245450.0}, {""currency"": ""USD"", ""contract_type"": ""b2b"", ""unit"": ""hour"", ""postings_with_salary"": 1, ""salary_ranges"": 1, ""avg_salary_min"": 45.0, ""avg_salary_max"": 45.0, ""avg_salary"": 45.0}, {""currency"": ""USD"", ""contract_type"": ""b2b"", ""unit"": ""month"", ""postings_with_salary"": 3, ""salary_ranges"": 3, ""avg_salary_min"": 4645.0, ""avg_salary_max"": 5663.33, ""avg_salary"": 5154.17}]",scraper
